OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-3600,-300,13581,18803,2340,13225,20450,0,9625,20150,0
-3600,-300,14184,19603,2461,11725,21050,0,8125,20750,0
-3600,-300,13664,18605,2079,11575,19850,0,7975,19550,0
-3600,-300,13611,18852,2292,13375,20450,0,9775,20150,0
-3600,-300,14102,19620,2536,11875,21050,0,8275,20750,0
-3600,-300,13247,17417,2221,11425,18050,0,7825,17750,0
-3600,-300,14160,19416,2390,12175,21050,0,8575,20750,0
-3600,-300,14137,19554,2504,11575,21050,0,7975,20750,0
-3600,-300,14002,19418,2533,12325,21050,0,8725,20750,0
-3300,-300,13101,16670,2012,8425,16850,0,5125,16550,0
-3300,-300,13160,16259,1790,9925,17450,0,6625,17150,0
-3300,-300,14056,18855,1473,15625,18050,0,12325,17750,0
-3300,-300,13063,16756,2082,11575,18050,0,8275,17750,0
-3300,-300,13466,18503,1712,13525,19250,0,10225,18950,0
-3300,-300,13165,17058,2223,15325,17450,0,12025,17150,0
-3300,-300,13462,18623,1986,12175,19850,0,8875,19550,0
-3300,-300,13182,17127,2192,11275,17450,0,7975,17150,0
-3300,-300,13531,18531,1808,12625,19850,0,9325,19550,0
-3300,-300,13570,18648,1932,12325,19850,0,9025,19550,0
-3300,-300,13703,19209,2188,13075,21050,0,9775,20750,0
-3300,-300,13418,18490,2001,13675,19250,0,10375,18950,0
-3300,-300,13963,19608,2367,12475,20450,0,9175,20150,0
-3300,-300,13538,18775,2034,11875,19850,0,8575,19550,0
-3300,-300,13658,18975,2054,13225,20450,0,9925,20150,0
-3300,-300,13839,19416,2273,11575,21050,0,8275,20750,0
-3300,-300,13824,19296,2276,12925,21050,0,9625,20750,0
-3300,-300,13395,16799,1890,12625,17450,0,9325,17150,0
-3300,-300,13244,16752,2100,12475,17450,0,9175,17150,0
-3300,-300,14035,19747,2296,12025,21650,0,8725,21350,0
-3300,-300,13653,18987,2306,13225,21050,0,9925,20750,0
-3300,-300,14038,19697,2193,11875,21650,0,8575,21350,0
-3300,-300,13735,18864,2091,13075,20450,0,9775,20150,0
-3300,-300,14038,19762,2350,11275,21650,0,7975,21350,0
-3300,-300,13555,18755,2265,13375,20450,0,10075,20150,0
-3300,-300,13156,17927,2417,12775,18650,0,9475,18350,0
-3300,-300,13508,18428,1941,13225,19250,0,9925,18950,0
-3300,-300,13931,19390,2506,12625,21050,0,9325,20750,0
-3300,-300,13422,16937,2381,15625,17450,0,12325,17150,0
-3300,-300,13325,17795,1989,12775,18650,0,9475,18350,0
-3300,-300,13367,16780,2085,12775,17450,0,9475,17150,0
-3300,-300,13954,19605,2207,12175,21050,0,8875,20750,0
-3000,-300,12816,15815,2060,12925,16250,0,9925,15950,0
-3000,-300,13026,16418,1875,12925,16850,0,9925,16550,0
-3000,-300,13137,16964,2032,12025,16850,0,9025,16550,0
-3000,-300,13034,16429,1800,13075,16850,0,10075,16550,0
-3000,-300,13101,16673,2066,8275,16850,0,5275,16550,0
